id,word,type,abs_sg,obl_sg_stem,abs_pl,abs_pl_suffix,obl_pl_stem,abs_sg_cyr,obl_sg_stem_cyr,abs_pl_cyr,abs_pl_suffix_cyr,obl_pl_stem_cyr
1,ГОЛОВА,4,mijar,mijar,mijardu,l,mijardoba,мийар,мийар,мийарду,л,мийардоба
1,ГОЛОВА,4,mijar,mijar,mijardu,l,mijarda,мийар,мийар,мийарду,л,мийарда
2,ЛОБ,4,honno,honnolo,honno,l,honnoli,гьонно,гьонноло,гьонно,л,гьонноли
2,ЛОБ,4,honno,honnolo,honnobi,l,honnoba,гьонно,гьонноло,гьонноби,л,гьонноба
3,ГЛАЗ,5,hark'u,hark'ulo,hark'uobi,l,hark'uoba,гьаркІу,гьаркІуло,гьаркІуоби,л,гьаркІуоба
4,РЕСНИЦА,5,nidu,nidulo,nidobi,l,nidoba,ниду,нидуло,нидоби,л,нидоба
5,БРОВЬ,5,lens:ib,lens:ib,lens:ibo,l,lens:iba,ленссиб,ленссиб,ленссибо,л,ленссиба
6,УХО,5,hant'ik'a,hant'ik'u,hant'ik'obi,l,hant'ik'oba,гьантІикІа,гьантІикІу,гьантІикІоби,л,гьантІикІоба
7,ЛИЦО,4,riži,rižilo,rižobdu,l,rižobda,рижи,рижило,рижобду,л,рижобда
8,ЩЕКА,5,gᵂorzu,gᵂorzulo,gᵂorzobi,l,gᵂorzoba,гворзу,гворзуло,гворзоби,л,гворзоба
9,НOC,5,mahar,mahar,mahardu,l,mahardoba,магьар,магьар,магьарду,л,магьардоба
10,КЛЮВ,5,mahar,mahar,mahardu,l,maharda,магьар,магьар,магьарду,л,магьарда
10,КЛЮВ,5,q'amu,q'amuo,q'amodu,l,q'amodoba,къаму,къамуо,къамоду,л,къамодоба
10,КЛЮВ,5,q'amu,q'amuo,q'amodu,l,q'amoda,къаму,къамуо,къамоду,л,къамода
11,РОТ,5,k'ol,k'olo,k'olibo,l,k'oliba,кІол,кІоло,кІолибо,л,кІолиба
12,ГУБА (губы и часть лица вокруг губ),5,sim,sim,simmu,l,simmuli,сим,сим,симму,л,симмули
12,ГУБА (морда),5,s:unt'ul,s:unt'ul,s:unt'ulo,l,s:unt'ula,ссунтІул,ссунтІул,ссунтІуло,л,ссунтІула
13,ПОДБОРОДОК,4,žuna,žunalo,žunibo,l,žuniba,жуна,жунало,жунибо,л,жуниба
14,ЧЕЛЮСТЬ,5,č'amč'al,č'amč'al,č'amč'alo,l,č'amč'ala,чІамчІал,чІамчІал,чІамчІало,л,чІамчІала
15,ЯЗЫК,5,mic':i,mic':ilo,mic':adu,l,mic':adoba,мицІи,мицІило,мицІаду,л,мицІадоба
15,ЯЗЫК,5,mic':i,mic':ilo,mic':adu,l,mic':ada,мицІи,мицІило,мицІаду,л,мицІада
16,ДЕСНА,5,tomil,tomil,tomilo,l,tomila,томил,томил,томило,л,томила
17,ЗУБ,4,sol,soll,solibo,l,soliba,сол,солл,солибо,л,солиба
18,КЛЫК,4,siɢi,siɢilo,siɢi,l,siɢili,сии,сиило,сии,л,сиили
