,id,word,roles,andi_roles,aorist,infinitive,imperative,aorist_cyr,infinitive_cyr,imperative_cyr,stem_type,class,ablaut
0,3,"ОКАЗЫВАТЬСЯ, ПОПАДАТЬ",<кто:ном; где:лок>,,kᵂ'o,k'udu,kᵂ'ob,кІво,кІуду,кІвоб,o,1,1
1,4,ОСТАВАТЬСЯ,<кто:ном>,,ek:u,ok:udu,ok:ub,екку,оккуду,оккуб,o,1,0
2,5,ОСТАВЛЯТЬ,<кто:эрг; что:ном>,,eta,od:u,oto,ета,одду,ото,o,1,0
3,6,"ТЕРЯТЬСЯ, ИСЧЕЗАТЬ",<что:ном>,,t'u,t'udu,t'ub,тІу,тІуду,тІуб,o,1,1
4,8,ПРЯТАТЬСЯ,<кто:ном>,,eq'aš:i,oq'aš:du,oq'aš:ib,екъащи,окъащду,окъащиб,o,1,0
5,9,ПРЯТАТЬ,<кто:эрг; что:ном>,,eq'aš:i,oq'aš:du,eq'aš:o,екъащи,окъащду,екъащо,o,1,0
6,10,ИСКАТЬ,<кто:эрг; что:ном>,,kusdi,kusdu,kusdo,кусди,кусду,кусдо,o,0,0
7,11,НАХОДИТЬ (случайно),<кто:дат; что:ном>,<афф; ном>,son,sonnu,som,сон,сонну,сом,n,1,1
8,12,ДАВАТЬ,<кто:эрг; что:ном; кому:дат>,,ič:i,ič:idu,ič:o,иччи,иччиду,иччо,o,0,0
9,13,ПРОДАВАТЬ,<кто:эрг; что:ном>,,aXoɬi,aXollu,aXoɬo,ахолъи,ахоллу,ахолъо,o,1,0
10,14,БРАТЬ,<кто:эрг; что:ном>,,Xi,Xidu,Xo,хи,хиду,хо,o,1,1
11,15,ПОКУПАТЬ,<кто:эрг; что:ном>,,Xi,Xidu,Xo,хи,хиду,хо,o,1,1
12,16,"ОТНИМАТЬ, ОТБИРАТЬ",<кто:эрг; что:ном>,,lon,linnu,lom,лон,линну,лом,n,1,1
13,17,ВЫБИРАТЬ,<кто:эрг; что:ном>,,oč'a,oc'idu,oč'o,очІа,оцІиду,очІо,o,1,0
14,18,МЕНЯТЬ,<кто:эрг; что:ном>,<что:ном>,eršo,eršidu,eršob,ершо,ершиду,ершоб,o,1,0
15,19,"ЛОВИТЬ, ХВАТАТЬ, ДЕРЖАТЬ",<кто:эрг; кого:ном>,,č:i,č:idu,č:o,ччи,ччиду,ччо,o,1,1
16,20,ПРОИГРЫВАТЬ,<кто:ном; кому:лок>,,Ran,Rinnu,Ram,гъан,гъинну,гъам,n,1,1
17,21,ВЫИГРЫВАТЬ,<кто:эрг; у кого:ном>,<ном; лок>,ša,šidu/L,šab,ша,шидулІ,шаб,o,1,1
18,22,ИДТИ,<кто:ном>,,lon,linnu,lom,лон,линну,лом,n,1,1
19,23,УХОДИТЬ,<кто:ном>,,lon,linnu,lom,лон,линну,лом,n,1,1
20,24,ПРИХОДИТЬ,<кто:ном>,,Gᵂo,Gidu,Gᵂob,къгво,къгиду,къгвоб,o,1,1
21,25,"ДОЙТИ, ДОСТИЧЬ",<кто:ном>,,eqo,eqidu,oqob,ехъо,ехъиду,охъоб,o,1,0
22,26,ВХОДИТЬ,<кто:ном>,,kabdi,kabdu,kabdib,кабди,кабду,кабдиб,o,0,0
23,28,СОБИРАТЬСЯ,<кто:ном>,,ak'arunni,ak'arunnu,ak'arunnib,акІарунни,акІарунну,акІарунниб,di,1,0
24,29,СОБИРАТЬ,<кто:эрг; что:ном>,,ak'arunni,ak'arunnu,ak'arunno,акІарунни,акІарунну,акІарунно,di,1,0
25,30,"ПУСКАТЬ, ОТПУСКАТЬ",<кто:эрг; кого:ном>,,elta,eld:u,elto,елта,елдду,елто,o,0,0
26,31,ГНАТЬ,<кто:эрг; кого:ном>,,q'i,q'idu,qᵂ'o,къи,къиду,къво,o,1,1
